Connected to mysqlserver
AJANTPHARM 2017-01-31 2017-01-31
AJANTPHARM 2017-02-01 2017-02-28
AJANTPHARM 2017-03-01 2017-03-30
AJANTPHARM 2017-03-31 2017-03-31
AJANTPHARM 2017-04-01 2017-04-30
AJANTPHARM 2017-05-01 2017-05-30
AJANTPHARM 2017-05-31 2017-05-31
AJANTPHARM 2017-06-01 2017-06-30
ALBK 2016-09-01 2016-09-30
ALBK 2016-10-01 2016-10-30
ALBK 2016-10-31 2016-10-31
ALBK 2016-11-01 2016-11-30
ALBK 2016-12-01 2016-12-30
ALBK 2016-12-31 2016-12-31
ALBK 2017-01-01 2017-01-30
ALBK 2017-01-31 2017-01-31
ALBK 2017-02-01 2017-02-28
ALBK 2017-03-01 2017-03-30
ALBK 2017-03-31 2017-03-31
ALBK 2017-04-01 2017-04-30
ALBK 2017-05-01 2017-05-30
Commited candles: 450000
ALBK 2017-05-31 2017-05-31
ALBK 2017-06-01 2017-06-30
AMARAJABAT 2016-09-01 2016-09-30
AMARAJABAT 2016-10-01 2016-10-30
AMARAJABAT 2016-10-31 2016-10-31
AMARAJABAT 2016-11-01 2016-11-30
AMARAJABAT 2016-12-01 2016-12-30
AMARAJABAT 2016-12-31 2016-12-31
AMARAJABAT 2017-01-01 2017-01-30
AMARAJABAT 2017-01-31 2017-01-31
AMARAJABAT 2017-02-01 2017-02-28
AMARAJABAT 2017-03-01 2017-03-30
AMARAJABAT 2017-03-31 2017-03-31
AMARAJABAT 2017-04-01 2017-04-30
AMARAJABAT 2017-05-01 2017-05-30
AMARAJABAT 2017-05-31 2017-05-31
AMARAJABAT 2017-06-01 2017-06-30
AMBUJACEM 2016-09-01 2016-09-30
AMBUJACEM 2016-10-01 2016-10-30
AMBUJACEM 2016-10-31 2016-10-31
AMBUJACEM 2016-11-01 2016-11-30
AMBUJACEM 2016-12-01 2016-12-30
AMBUJACEM 2016-12-31 2016-12-31
AMBUJACEM 2017-01-01 2017-01-30
AMBUJACEM 2017-01-31 2017-01-31
AMBUJACEM 2017-02-01 2017-02-28
AMBUJACEM 2017-03-01 2017-03-30
AMBUJACEM 2017-03-31 2017-03-31
AMBUJACEM 2017-04-01 2017-04-30
AMBUJACEM 2017-05-01 2017-05-30
Commited candles: 600000
AMBUJACEM 2017-05-31 2017-05-31
AMBUJACEM 2017-06-01 2017-06-30
ANDHRABANK 2016-09-01 2016-09-30
ANDHRABANK 2016-10-01 2016-10-30
ANDHRABANK 2016-10-31 2016-10-31
ANDHRABANK 2016-11-01 2016-11-30
ANDHRABANK 2016-12-01 2016-12-30
ANDHRABANK 2016-12-31 2016-12-31
ANDHRABANK 2017-01-01 2017-01-30
ANDHRABANK 2017-01-31 2017-01-31
ANDHRABANK 2017-02-01 2017-02-28
ANDHRABANK 2017-03-01 2017-03-30
ANDHRABANK 2017-03-31 2017-03-31
ANDHRABANK 2017-04-01 2017-04-30
ANDHRABANK 2017-05-01 2017-05-30
ANDHRABANK 2017-05-31 2017-05-31
ANDHRABANK 2017-06-01 2017-06-30
APOLLOHOSP 2016-09-01 2016-09-30
APOLLOHOSP 2016-10-01 2016-10-30
APOLLOHOSP 2016-10-31 2016-10-31
APOLLOHOSP 2016-11-01 2016-11-30
APOLLOHOSP 2016-12-01 2016-12-30
APOLLOHOSP 2016-12-31 2016-12-31
APOLLOHOSP 2017-01-01 2017-01-30
APOLLOHOSP 2017-01-31 2017-01-31
APOLLOHOSP 2017-02-01 2017-02-28
APOLLOHOSP 2017-03-01 2017-03-30
APOLLOHOSP 2017-03-31 2017-03-31
APOLLOHOSP 2017-04-01 2017-04-30
APOLLOHOSP 2017-05-01 2017-05-30
Commited candles: 750000
APOLLOHOSP 2017-05-31 2017-05-31
APOLLOHOSP 2017-06-01 2017-06-30
APOLLOTYRE 2016-09-01 2016-09-30
APOLLOTYRE 2016-10-01 2016-10-30
APOLLOTYRE 2016-10-31 2016-10-31
APOLLOTYRE 2016-11-01 2016-11-30
APOLLOTYRE 2016-12-01 2016-12-30
APOLLOTYRE 2016-12-31 2016-12-31
APOLLOTYRE 2017-01-01 2017-01-30
APOLLOTYRE 2017-01-31 2017-01-31
APOLLOTYRE 2017-02-01 2017-02-28
APOLLOTYRE 2017-03-01 2017-03-30
APOLLOTYRE 2017-03-31 2017-03-31
APOLLOTYRE 2017-04-01 2017-04-30
APOLLOTYRE 2017-05-01 2017-05-30
APOLLOTYRE 2017-05-31 2017-05-31
APOLLOTYRE 2017-06-01 2017-06-30
ARVIND 2016-09-01 2016-09-30
ARVIND 2016-10-01 2016-10-30
ARVIND 2016-10-31 2016-10-31
ARVIND 2016-11-01 2016-11-30
ARVIND 2016-12-01 2016-12-30
ARVIND 2016-12-31 2016-12-31
ARVIND 2017-01-01 2017-01-30
ARVIND 2017-01-31 2017-01-31
ARVIND 2017-02-01 2017-02-28
ARVIND 2017-03-01 2017-03-30
ARVIND 2017-03-31 2017-03-31
ARVIND 2017-04-01 2017-04-30
Commited candles: 900000
ARVIND 2017-05-01 2017-05-30
ARVIND 2017-05-31 2017-05-31
ARVIND 2017-06-01 2017-06-30
ASHOKLEY 2016-09-01 2016-09-30
ASHOKLEY 2016-10-01 2016-10-30
ASHOKLEY 2016-10-31 2016-10-31
ASHOKLEY 2016-11-01 2016-11-30
ASHOKLEY 2016-12-01 2016-12-30
ASHOKLEY 2016-12-31 2016-12-31
ASHOKLEY 2017-01-01 2017-01-30
ASHOKLEY 2017-01-31 2017-01-31
ASHOKLEY 2017-02-01 2017-02-28
ASHOKLEY 2017-03-01 2017-03-30
ASHOKLEY 2017-03-31 2017-03-31
ASHOKLEY 2017-04-01 2017-04-30
ASHOKLEY 2017-05-01 2017-05-30
ASHOKLEY 2017-05-31 2017-05-31
ASHOKLEY 2017-06-01 2017-06-30
ASIANPAINT 2016-09-01 2016-09-30
ASIANPAINT 2016-10-01 2016-10-30
ASIANPAINT 2016-10-31 2016-10-31
ASIANPAINT 2016-11-01 2016-11-30
ASIANPAINT 2016-12-01 2016-12-30
ASIANPAINT 2016-12-31 2016-12-31
ASIANPAINT 2017-01-01 2017-01-30
ASIANPAINT 2017-01-31 2017-01-31
ASIANPAINT 2017-02-01 2017-02-28
ASIANPAINT 2017-03-01 2017-03-30
ASIANPAINT 2017-03-31 2017-03-31
ASIANPAINT 2017-04-01 2017-04-30
Commited candles: 1050000
ASIANPAINT 2017-05-01 2017-05-30
ASIANPAINT 2017-05-31 2017-05-31
ASIANPAINT 2017-06-01 2017-06-30
AUROPHARMA 2016-09-01 2016-09-30
AUROPHARMA 2016-10-01 2016-10-30
AUROPHARMA 2016-10-31 2016-10-31
AUROPHARMA 2016-11-01 2016-11-30
AUROPHARMA 2016-12-01 2016-12-30
AUROPHARMA 2016-12-31 2016-12-31
AUROPHARMA 2017-01-01 2017-01-30
AUROPHARMA 2017-01-31 2017-01-31
AUROPHARMA 2017-02-01 2017-02-28
AUROPHARMA 2017-03-01 2017-03-30
AUROPHARMA 2017-03-31 2017-03-31
AUROPHARMA 2017-04-01 2017-04-30
AUROPHARMA 2017-05-01 2017-05-30
AUROPHARMA 2017-05-31 2017-05-31
AUROPHARMA 2017-06-01 2017-06-30
AXISBANK 2016-09-01 2016-09-30
AXISBANK 2016-10-01 2016-10-30
AXISBANK 2016-10-31 2016-10-31
AXISBANK 2016-11-01 2016-11-30
AXISBANK 2016-12-01 2016-12-30
AXISBANK 2016-12-31 2016-12-31
AXISBANK 2017-01-01 2017-01-30
AXISBANK 2017-01-31 2017-01-31
AXISBANK 2017-02-01 2017-02-28
AXISBANK 2017-03-01 2017-03-30
Commited candles: 1200000
AXISBANK 2017-03-31 2017-03-31
AXISBANK 2017-04-01 2017-04-30
AXISBANK 2017-05-01 2017-05-30
AXISBANK 2017-05-31 2017-05-31
AXISBANK 2017-06-01 2017-06-30
BAJAJ-AUTO 2016-09-01 2016-09-30
BAJAJ-AUTO 2016-10-01 2016-10-30
BAJAJ-AUTO 2016-10-31 2016-10-31
BAJAJ-AUTO 2016-11-01 2016-11-30
BAJAJ-AUTO 2016-12-01 2016-12-30
BAJAJ-AUTO 2016-12-31 2016-12-31
BAJAJ-AUTO 2017-01-01 2017-01-30
BAJAJ-AUTO 2017-01-31 2017-01-31
BAJAJ-AUTO 2017-02-01 2017-02-28
BAJAJ-AUTO 2017-03-01 2017-03-30
BAJAJ-AUTO 2017-03-31 2017-03-31
BAJAJ-AUTO 2017-04-01 2017-04-30
BAJAJ-AUTO 2017-05-01 2017-05-30
BAJAJ-AUTO 2017-05-31 2017-05-31
BAJAJ-AUTO 2017-06-01 2017-06-30
BAJAJFINSV 2016-09-01 2016-09-30
BAJAJFINSV 2016-10-01 2016-10-30
BAJAJFINSV 2016-10-31 2016-10-31
BAJAJFINSV 2016-11-01 2016-11-30
BAJAJFINSV 2016-12-01 2016-12-30
BAJAJFINSV 2016-12-31 2016-12-31
BAJAJFINSV 2017-01-01 2017-01-30
BAJAJFINSV 2017-01-31 2017-01-31
BAJAJFINSV 2017-02-01 2017-02-28
BAJAJFINSV 2017-03-01 2017-03-30
Commited candles: 1350000
BAJAJFINSV 2017-03-31 2017-03-31
BAJAJFINSV 2017-04-01 2017-04-30
BAJAJFINSV 2017-05-01 2017-05-30
BAJAJFINSV 2017-05-31 2017-05-31
BAJAJFINSV 2017-06-01 2017-06-30
BAJFINANCE 2016-09-01 2016-09-30
BAJFINANCE 2016-10-01 2016-10-30
BAJFINANCE 2016-10-31 2016-10-31
BAJFINANCE 2016-11-01 2016-11-30
BAJFINANCE 2016-12-01 2016-12-30
BAJFINANCE 2016-12-31 2016-12-31
BAJFINANCE 2017-01-01 2017-01-30
BAJFINANCE 2017-01-31 2017-01-31
BAJFINANCE 2017-02-01 2017-02-28
BAJFINANCE 2017-03-01 2017-03-30
BAJFINANCE 2017-03-31 2017-03-31
BAJFINANCE 2017-04-01 2017-04-30
BAJFINANCE 2017-05-01 2017-05-30
BAJFINANCE 2017-05-31 2017-05-31
BAJFINANCE 2017-06-01 2017-06-30
BALKRISIND 2016-09-01 2016-09-30
BALKRISIND 2016-10-01 2016-10-30
BALKRISIND 2016-10-31 2016-10-31
BALKRISIND 2016-11-01 2016-11-30
BALKRISIND 2016-12-01 2016-12-30
BALKRISIND 2016-12-31 2016-12-31
BALKRISIND 2017-01-01 2017-01-30
BALKRISIND 2017-01-31 2017-01-31
BALKRISIND 2017-02-01 2017-02-28
BALKRISIND 2017-03-01 2017-03-30
Commited candles: 1500000
BALKRISIND 2017-03-31 2017-03-31
BALKRISIND 2017-04-01 2017-04-30
BALKRISIND 2017-05-01 2017-05-30
BALKRISIND 2017-05-31 2017-05-31
BALKRISIND 2017-06-01 2017-06-30
BALRAMCHIN 2016-09-01 2016-09-30
BALRAMCHIN 2016-10-01 2016-10-30
BALRAMCHIN 2016-10-31 2016-10-31
BALRAMCHIN 2016-11-01 2016-11-30
BALRAMCHIN 2016-12-01 2016-12-30
BALRAMCHIN 2016-12-31 2016-12-31
BALRAMCHIN 2017-01-01 2017-01-30
BALRAMCHIN 2017-01-31 2017-01-31
BALRAMCHIN 2017-02-01 2017-02-28
BALRAMCHIN 2017-03-01 2017-03-30
BALRAMCHIN 2017-03-31 2017-03-31
BALRAMCHIN 2017-04-01 2017-04-30
BALRAMCHIN 2017-05-01 2017-05-30
BALRAMCHIN 2017-05-31 2017-05-31
BALRAMCHIN 2017-06-01 2017-06-30
BANKBARODA 2016-09-01 2016-09-30
BANKBARODA 2016-10-01 2016-10-30
BANKBARODA 2016-10-31 2016-10-31
BANKBARODA 2016-11-01 2016-11-30
BANKBARODA 2016-12-01 2016-12-30
BANKBARODA 2016-12-31 2016-12-31
BANKBARODA 2017-01-01 2017-01-30
BANKBARODA 2017-01-31 2017-01-31
BANKBARODA 2017-02-01 2017-02-28
Commited candles: 1650000
BANKBARODA 2017-03-01 2017-03-30
BANKBARODA 2017-03-31 2017-03-31
BANKBARODA 2017-04-01 2017-04-30
BANKBARODA 2017-05-01 2017-05-30
BANKBARODA 2017-05-31 2017-05-31
BANKBARODA 2017-06-01 2017-06-30
BANKINDIA 2016-09-01 2016-09-30
BANKINDIA 2016-10-01 2016-10-30
BANKINDIA 2016-10-31 2016-10-31
BANKINDIA 2016-11-01 2016-11-30
BANKINDIA 2016-12-01 2016-12-30
BANKINDIA 2016-12-31 2016-12-31
BANKINDIA 2017-01-01 2017-01-30
BANKINDIA 2017-01-31 2017-01-31
BANKINDIA 2017-02-01 2017-02-28
BANKINDIA 2017-03-01 2017-03-30
BANKINDIA 2017-03-31 2017-03-31
BANKINDIA 2017-04-01 2017-04-30
BANKINDIA 2017-05-01 2017-05-30
BANKINDIA 2017-05-31 2017-05-31
BANKINDIA 2017-06-01 2017-06-30
BATAINDIA 2016-09-01 2016-09-30
BATAINDIA 2016-10-01 2016-10-30
BATAINDIA 2016-10-31 2016-10-31
BATAINDIA 2016-11-01 2016-11-30
BATAINDIA 2016-12-01 2016-12-30
BATAINDIA 2016-12-31 2016-12-31
BATAINDIA 2017-01-01 2017-01-30
BATAINDIA 2017-01-31 2017-01-31
BATAINDIA 2017-02-01 2017-02-28
Commited candles: 1800000
BATAINDIA 2017-03-01 2017-03-30
BATAINDIA 2017-03-31 2017-03-31
BATAINDIA 2017-04-01 2017-04-30
BATAINDIA 2017-05-01 2017-05-30
BATAINDIA 2017-05-31 2017-05-31
BATAINDIA 2017-06-01 2017-06-30
BEL 2016-09-01 2016-09-30
BEL 2016-10-01 2016-10-30
BEL 2016-10-31 2016-10-31
BEL 2016-11-01 2016-11-30
BEL 2016-12-01 2016-12-30
BEL 2016-12-31 2016-12-31
BEL 2017-01-01 2017-01-30
BEL 2017-01-31 2017-01-31
BEL 2017-02-01 2017-02-28
BEL 2017-03-01 2017-03-30
BEL 2017-03-31 2017-03-31
BEL 2017-04-01 2017-04-30
BEL 2017-05-01 2017-05-30
BEL 2017-05-31 2017-05-31
BEL 2017-06-01 2017-06-30
BEML 2016-09-01 2016-09-30
BEML 2016-10-01 2016-10-30
BEML 2016-10-31 2016-10-31
BEML 2016-11-01 2016-11-30
BEML 2016-12-01 2016-12-30
BEML 2016-12-31 2016-12-31
BEML 2017-01-01 2017-01-30
Commited candles: 1950000
BEML 2017-01-31 2017-01-31
BEML 2017-02-01 2017-02-28
BEML 2017-03-01 2017-03-30
BEML 2017-03-31 2017-03-31
BEML 2017-04-01 2017-04-30
BEML 2017-05-01 2017-05-30
BEML 2017-05-31 2017-05-31
BEML 2017-06-01 2017-06-30
BERGEPAINT 2016-09-01 2016-09-30
BERGEPAINT 2016-10-01 2016-10-30
BERGEPAINT 2016-10-31 2016-10-31
BERGEPAINT 2016-11-01 2016-11-30
BERGEPAINT 2016-12-01 2016-12-30
BERGEPAINT 2016-12-31 2016-12-31
BERGEPAINT 2017-01-01 2017-01-30
BERGEPAINT 2017-01-31 2017-01-31
BERGEPAINT 2017-02-01 2017-02-28
BERGEPAINT 2017-03-01 2017-03-30
BERGEPAINT 2017-03-31 2017-03-31
BERGEPAINT 2017-04-01 2017-04-30
BERGEPAINT 2017-05-01 2017-05-30
BERGEPAINT 2017-05-31 2017-05-31
BERGEPAINT 2017-06-01 2017-06-30
BHARATFIN 2016-09-01 2016-09-30
BHARATFIN 2016-10-01 2016-10-30
BHARATFIN 2016-10-31 2016-10-31
BHARATFIN 2016-11-01 2016-11-30
BHARATFIN 2016-12-01 2016-12-30
BHARATFIN 2016-12-31 2016-12-31
BHARATFIN 2017-01-01 2017-01-30
Commited candles: 2100000
BHARATFIN 2017-01-31 2017-01-31
BHARATFIN 2017-02-01 2017-02-28
BHARATFIN 2017-03-01 2017-03-30
BHARATFIN 2017-03-31 2017-03-31
BHARATFIN 2017-04-01 2017-04-30
BHARATFIN 2017-05-01 2017-05-30
BHARATFIN 2017-05-31 2017-05-31
BHARATFIN 2017-06-01 2017-06-30
BHARATFORG 2016-09-01 2016-09-30
BHARATFORG 2016-10-01 2016-10-30
BHARATFORG 2016-10-31 2016-10-31
BHARATFORG 2016-11-01 2016-11-30
BHARATFORG 2016-12-01 2016-12-30
BHARATFORG 2016-12-31 2016-12-31
BHARATFORG 2017-01-01 2017-01-30
BHARATFORG 2017-01-31 2017-01-31
BHARATFORG 2017-02-01 2017-02-28
BHARATFORG 2017-03-01 2017-03-30
BHARATFORG 2017-03-31 2017-03-31
BHARATFORG 2017-04-01 2017-04-30
BHARATFORG 2017-05-01 2017-05-30
BHARATFORG 2017-05-31 2017-05-31
BHARATFORG 2017-06-01 2017-06-30
BHARTIARTL 2016-09-01 2016-09-30
BHARTIARTL 2016-10-01 2016-10-30
BHARTIARTL 2016-10-31 2016-10-31
BHARTIARTL 2016-11-01 2016-11-30
BHARTIARTL 2016-12-01 2016-12-30
BHARTIARTL 2016-12-31 2016-12-31
BHARTIARTL 2017-01-01 2017-01-30
Commited candles: 2250000
BHARTIARTL 2017-01-31 2017-01-31
BHARTIARTL 2017-02-01 2017-02-28
BHARTIARTL 2017-03-01 2017-03-30
BHARTIARTL 2017-03-31 2017-03-31
BHARTIARTL 2017-04-01 2017-04-30
BHARTIARTL 2017-05-01 2017-05-30
BHARTIARTL 2017-05-31 2017-05-31
BHARTIARTL 2017-06-01 2017-06-30
BHEL 2016-09-01 2016-09-30
BHEL 2016-10-01 2016-10-30
BHEL 2016-10-31 2016-10-31
BHEL 2016-11-01 2016-11-30
BHEL 2016-12-01 2016-12-30
BHEL 2016-12-31 2016-12-31
BHEL 2017-01-01 2017-01-30
BHEL 2017-01-31 2017-01-31
BHEL 2017-02-01 2017-02-28
BHEL 2017-03-01 2017-03-30
BHEL 2017-03-31 2017-03-31
BHEL 2017-04-01 2017-04-30
BHEL 2017-05-01 2017-05-30
BHEL 2017-05-31 2017-05-31
BHEL 2017-06-01 2017-06-30
BIOCON 2016-09-01 2016-09-30
BIOCON 2016-10-01 2016-10-30
BIOCON 2016-10-31 2016-10-31
BIOCON 2016-11-01 2016-11-30
BIOCON 2016-12-01 2016-12-30
Commited candles: 2400000
BIOCON 2016-12-31 2016-12-31
BIOCON 2017-01-01 2017-01-30
BIOCON 2017-01-31 2017-01-31
BIOCON 2017-02-01 2017-02-28
BIOCON 2017-03-01 2017-03-30
BIOCON 2017-03-31 2017-03-31
BIOCON 2017-04-01 2017-04-30
BIOCON 2017-05-01 2017-05-30
BIOCON 2017-05-31 2017-05-31
BIOCON 2017-06-01 2017-06-30
BOSCHLTD 2016-09-01 2016-09-30
BOSCHLTD 2016-10-01 2016-10-30
BOSCHLTD 2016-10-31 2016-10-31
BOSCHLTD 2016-11-01 2016-11-30
BOSCHLTD 2016-12-01 2016-12-30
BOSCHLTD 2016-12-31 2016-12-31
BOSCHLTD 2017-01-01 2017-01-30
BOSCHLTD 2017-01-31 2017-01-31
BOSCHLTD 2017-02-01 2017-02-28
BOSCHLTD 2017-03-01 2017-03-30
BOSCHLTD 2017-03-31 2017-03-31
BOSCHLTD 2017-04-01 2017-04-30
BOSCHLTD 2017-05-01 2017-05-30
BOSCHLTD 2017-05-31 2017-05-31
BOSCHLTD 2017-06-01 2017-06-30
BPCL 2016-09-01 2016-09-30
BPCL 2016-10-01 2016-10-30
BPCL 2016-10-31 2016-10-31
BPCL 2016-11-01 2016-11-30
BPCL 2016-12-01 2016-12-30
Commited candles: 2550000
BPCL 2016-12-31 2016-12-31
BPCL 2017-01-01 2017-01-30
BPCL 2017-01-31 2017-01-31
BPCL 2017-02-01 2017-02-28
BPCL 2017-03-01 2017-03-30
BPCL 2017-03-31 2017-03-31
BPCL 2017-04-01 2017-04-30
BPCL 2017-05-01 2017-05-30
BPCL 2017-05-31 2017-05-31
BPCL 2017-06-01 2017-06-30
BRITANNIA 2016-09-01 2016-09-30
BRITANNIA 2016-10-01 2016-10-30
BRITANNIA 2016-10-31 2016-10-31
BRITANNIA 2016-11-01 2016-11-30
BRITANNIA 2016-12-01 2016-12-30
BRITANNIA 2016-12-31 2016-12-31
BRITANNIA 2017-01-01 2017-01-30
BRITANNIA 2017-01-31 2017-01-31
BRITANNIA 2017-02-01 2017-02-28
BRITANNIA 2017-03-01 2017-03-30
BRITANNIA 2017-03-31 2017-03-31
BRITANNIA 2017-04-01 2017-04-30
BRITANNIA 2017-05-01 2017-05-30
BRITANNIA 2017-05-31 2017-05-31
BRITANNIA 2017-06-01 2017-06-30
CADILAHC 2016-09-01 2016-09-30
CADILAHC 2016-10-01 2016-10-30
CADILAHC 2016-10-31 2016-10-31
CADILAHC 2016-11-01 2016-11-30
CADILAHC 2016-12-01 2016-12-30
Commited candles: 2700000
CADILAHC 2016-12-31 2016-12-31
CADILAHC 2017-01-01 2017-01-30
CADILAHC 2017-01-31 2017-01-31
CADILAHC 2017-02-01 2017-02-28
CADILAHC 2017-03-01 2017-03-30
CADILAHC 2017-03-31 2017-03-31
CADILAHC 2017-04-01 2017-04-30
CADILAHC 2017-05-01 2017-05-30
CADILAHC 2017-05-31 2017-05-31
CADILAHC 2017-06-01 2017-06-30
CANBK 2016-09-01 2016-09-30
CANBK 2016-10-01 2016-10-30
CANBK 2016-10-31 2016-10-31
CANBK 2016-11-01 2016-11-30
CANBK 2016-12-01 2016-12-30
CANBK 2016-12-31 2016-12-31
CANBK 2017-01-01 2017-01-30
CANBK 2017-01-31 2017-01-31
CANBK 2017-02-01 2017-02-28
CANBK 2017-03-01 2017-03-30
CANBK 2017-03-31 2017-03-31
CANBK 2017-04-01 2017-04-30
CANBK 2017-05-01 2017-05-30
CANBK 2017-05-31 2017-05-31
CANBK 2017-06-01 2017-06-30
CANFINHOME 2016-09-01 2016-09-30
CANFINHOME 2016-10-01 2016-10-30
CANFINHOME 2016-10-31 2016-10-31
CANFINHOME 2016-11-01 2016-11-30
Commited candles: 2850000
CANFINHOME 2016-12-01 2016-12-30
CANFINHOME 2016-12-31 2016-12-31
CANFINHOME 2017-01-01 2017-01-30
CANFINHOME 2017-01-31 2017-01-31
CANFINHOME 2017-02-01 2017-02-28
CANFINHOME 2017-03-01 2017-03-30
CANFINHOME 2017-03-31 2017-03-31
CANFINHOME 2017-04-01 2017-04-30
CANFINHOME 2017-05-01 2017-05-30
CANFINHOME 2017-05-31 2017-05-31
CANFINHOME 2017-06-01 2017-06-30
CAPF 2016-09-01 2016-09-30
CAPF 2016-10-01 2016-10-30
CAPF 2016-10-31 2016-10-31
CAPF 2016-11-01 2016-11-30
CAPF 2016-12-01 2016-12-30
CAPF 2016-12-31 2016-12-31
CAPF 2017-01-01 2017-01-30
CAPF 2017-01-31 2017-01-31
CAPF 2017-02-01 2017-02-28
CAPF 2017-03-01 2017-03-30
CAPF 2017-03-31 2017-03-31
CAPF 2017-04-01 2017-04-30
CAPF 2017-05-01 2017-05-30
CAPF 2017-05-31 2017-05-31
CAPF 2017-06-01 2017-06-30
CASTROLIND 2016-09-01 2016-09-30
CASTROLIND 2016-10-01 2016-10-30
CASTROLIND 2016-10-31 2016-10-31
CASTROLIND 2016-11-01 2016-11-30
Commited candles: 3000000
CASTROLIND 2016-12-01 2016-12-30
CASTROLIND 2016-12-31 2016-12-31
CASTROLIND 2017-01-01 2017-01-30
CASTROLIND 2017-01-31 2017-01-31
CASTROLIND 2017-02-01 2017-02-28
CASTROLIND 2017-03-01 2017-03-30
CASTROLIND 2017-03-31 2017-03-31
CASTROLIND 2017-04-01 2017-04-30
CASTROLIND 2017-05-01 2017-05-30
CASTROLIND 2017-05-31 2017-05-31
CASTROLIND 2017-06-01 2017-06-30
CEATLTD 2016-09-01 2016-09-30
CEATLTD 2016-10-01 2016-10-30
CEATLTD 2016-10-31 2016-10-31
CEATLTD 2016-11-01 2016-11-30
CEATLTD 2016-12-01 2016-12-30
CEATLTD 2016-12-31 2016-12-31
CEATLTD 2017-01-01 2017-01-30
CEATLTD 2017-01-31 2017-01-31
CEATLTD 2017-02-01 2017-02-28
CEATLTD 2017-03-01 2017-03-30
CEATLTD 2017-03-31 2017-03-31
CEATLTD 2017-04-01 2017-04-30
CEATLTD 2017-05-01 2017-05-30
CEATLTD 2017-05-31 2017-05-31
CEATLTD 2017-06-01 2017-06-30
CENTURYTEX 2016-09-01 2016-09-30
CENTURYTEX 2016-10-01 2016-10-30
Commited candles: 3150000
CENTURYTEX 2016-10-31 2016-10-31
CENTURYTEX 2016-11-01 2016-11-30
CENTURYTEX 2016-12-01 2016-12-30
CENTURYTEX 2016-12-31 2016-12-31
CENTURYTEX 2017-01-01 2017-01-30
CENTURYTEX 2017-01-31 2017-01-31
CENTURYTEX 2017-02-01 2017-02-28
