Connected to mysqlserver
AMBUJACEM 2017-07-31 2017-07-31
AMBUJACEM 2017-08-01 2017-08-30
AMBUJACEM 2017-08-31 2017-08-31
AMBUJACEM 2017-09-01 2017-09-30
AMBUJACEM 2017-10-01 2017-10-30
AMBUJACEM 2017-10-31 2017-10-31
AMBUJACEM 2017-11-01 2017-11-30
AMBUJACEM 2017-12-01 2017-12-30
AMBUJACEM 2017-12-31 2017-12-31
ANDHRABANK 2017-07-01 2017-07-30
ANDHRABANK 2017-07-31 2017-07-31
ANDHRABANK 2017-08-01 2017-08-30
ANDHRABANK 2017-08-31 2017-08-31
ANDHRABANK 2017-09-01 2017-09-30
ANDHRABANK 2017-10-01 2017-10-30
ANDHRABANK 2017-10-31 2017-10-31
ANDHRABANK 2017-11-01 2017-11-30
ANDHRABANK 2017-12-01 2017-12-30
ANDHRABANK 2017-12-31 2017-12-31
APOLLOHOSP 2017-07-01 2017-07-30
APOLLOHOSP 2017-07-31 2017-07-31
APOLLOHOSP 2017-08-01 2017-08-30
APOLLOHOSP 2017-08-31 2017-08-31
APOLLOHOSP 2017-09-01 2017-09-30
APOLLOHOSP 2017-10-01 2017-10-30
APOLLOHOSP 2017-10-31 2017-10-31
APOLLOHOSP 2017-11-01 2017-11-30
Commited candles: 450000
APOLLOHOSP 2017-12-01 2017-12-30
APOLLOHOSP 2017-12-31 2017-12-31
APOLLOTYRE 2017-07-01 2017-07-30
APOLLOTYRE 2017-07-31 2017-07-31
APOLLOTYRE 2017-08-01 2017-08-30
APOLLOTYRE 2017-08-31 2017-08-31
APOLLOTYRE 2017-09-01 2017-09-30
APOLLOTYRE 2017-10-01 2017-10-30
APOLLOTYRE 2017-10-31 2017-10-31
APOLLOTYRE 2017-11-01 2017-11-30
APOLLOTYRE 2017-12-01 2017-12-30
APOLLOTYRE 2017-12-31 2017-12-31
ARVIND 2017-07-01 2017-07-30
ARVIND 2017-07-31 2017-07-31
ARVIND 2017-08-01 2017-08-30
ARVIND 2017-08-31 2017-08-31
ARVIND 2017-09-01 2017-09-30
ARVIND 2017-10-01 2017-10-30
ARVIND 2017-10-31 2017-10-31
ARVIND 2017-11-01 2017-11-30
ARVIND 2017-12-01 2017-12-30
ARVIND 2017-12-31 2017-12-31
ASHOKLEY 2017-07-01 2017-07-30
ASHOKLEY 2017-07-31 2017-07-31
ASHOKLEY 2017-08-01 2017-08-30
ASHOKLEY 2017-08-31 2017-08-31
ASHOKLEY 2017-09-01 2017-09-30
ASHOKLEY 2017-10-01 2017-10-30
ASHOKLEY 2017-10-31 2017-10-31
ASHOKLEY 2017-11-01 2017-11-30
ASHOKLEY 2017-12-01 2017-12-30
Commited candles: 600000
ASHOKLEY 2017-12-31 2017-12-31
ASIANPAINT 2017-07-01 2017-07-30
ASIANPAINT 2017-07-31 2017-07-31
ASIANPAINT 2017-08-01 2017-08-30
ASIANPAINT 2017-08-31 2017-08-31
ASIANPAINT 2017-09-01 2017-09-30
ASIANPAINT 2017-10-01 2017-10-30
ASIANPAINT 2017-10-31 2017-10-31
ASIANPAINT 2017-11-01 2017-11-30
ASIANPAINT 2017-12-01 2017-12-30
ASIANPAINT 2017-12-31 2017-12-31
AUROPHARMA 2017-07-01 2017-07-30
AUROPHARMA 2017-07-31 2017-07-31
AUROPHARMA 2017-08-01 2017-08-30
AUROPHARMA 2017-08-31 2017-08-31
AUROPHARMA 2017-09-01 2017-09-30
AUROPHARMA 2017-10-01 2017-10-30
AUROPHARMA 2017-10-31 2017-10-31
AUROPHARMA 2017-11-01 2017-11-30
AUROPHARMA 2017-12-01 2017-12-30
AUROPHARMA 2017-12-31 2017-12-31
AXISBANK 2017-07-01 2017-07-30
AXISBANK 2017-07-31 2017-07-31
AXISBANK 2017-08-01 2017-08-30
AXISBANK 2017-08-31 2017-08-31
AXISBANK 2017-09-01 2017-09-30
AXISBANK 2017-10-01 2017-10-30
AXISBANK 2017-10-31 2017-10-31
AXISBANK 2017-11-01 2017-11-30
AXISBANK 2017-12-01 2017-12-30
AXISBANK 2017-12-31 2017-12-31
BAJAJ-AUTO 2017-07-01 2017-07-30
BAJAJ-AUTO 2017-07-31 2017-07-31
BAJAJ-AUTO 2017-08-01 2017-08-30
Commited candles: 750000
BAJAJ-AUTO 2017-08-31 2017-08-31
BAJAJ-AUTO 2017-09-01 2017-09-30
BAJAJ-AUTO 2017-10-01 2017-10-30
BAJAJ-AUTO 2017-10-31 2017-10-31
BAJAJ-AUTO 2017-11-01 2017-11-30
BAJAJ-AUTO 2017-12-01 2017-12-30
BAJAJ-AUTO 2017-12-31 2017-12-31
BAJAJFINSV 2017-07-01 2017-07-30
BAJAJFINSV 2017-07-31 2017-07-31
BAJAJFINSV 2017-08-01 2017-08-30
BAJAJFINSV 2017-08-31 2017-08-31
BAJAJFINSV 2017-09-01 2017-09-30
BAJAJFINSV 2017-10-01 2017-10-30
BAJAJFINSV 2017-10-31 2017-10-31
BAJAJFINSV 2017-11-01 2017-11-30
BAJAJFINSV 2017-12-01 2017-12-30
BAJAJFINSV 2017-12-31 2017-12-31
BAJFINANCE 2017-07-01 2017-07-30
BAJFINANCE 2017-07-31 2017-07-31
BAJFINANCE 2017-08-01 2017-08-30
BAJFINANCE 2017-08-31 2017-08-31
BAJFINANCE 2017-09-01 2017-09-30
BAJFINANCE 2017-10-01 2017-10-30
BAJFINANCE 2017-10-31 2017-10-31
BAJFINANCE 2017-11-01 2017-11-30
BAJFINANCE 2017-12-01 2017-12-30
BAJFINANCE 2017-12-31 2017-12-31
BALKRISIND 2017-07-01 2017-07-30
BALKRISIND 2017-07-31 2017-07-31
BALKRISIND 2017-08-01 2017-08-30
BALKRISIND 2017-08-31 2017-08-31
BALKRISIND 2017-09-01 2017-09-30
Commited candles: 900000
BALKRISIND 2017-10-01 2017-10-30
BALKRISIND 2017-10-31 2017-10-31
BALKRISIND 2017-11-01 2017-11-30
BALKRISIND 2017-12-01 2017-12-30
BALKRISIND 2017-12-31 2017-12-31
BALRAMCHIN 2017-07-01 2017-07-30
BALRAMCHIN 2017-07-31 2017-07-31
BALRAMCHIN 2017-08-01 2017-08-30
BALRAMCHIN 2017-08-31 2017-08-31
BALRAMCHIN 2017-09-01 2017-09-30
BALRAMCHIN 2017-10-01 2017-10-30
BALRAMCHIN 2017-10-31 2017-10-31
BALRAMCHIN 2017-11-01 2017-11-30
BALRAMCHIN 2017-12-01 2017-12-30
BALRAMCHIN 2017-12-31 2017-12-31
BANKBARODA 2017-07-01 2017-07-30
BANKBARODA 2017-07-31 2017-07-31
BANKBARODA 2017-08-01 2017-08-30
BANKBARODA 2017-08-31 2017-08-31
BANKBARODA 2017-09-01 2017-09-30
BANKBARODA 2017-10-01 2017-10-30
BANKBARODA 2017-10-31 2017-10-31
BANKBARODA 2017-11-01 2017-11-30
BANKBARODA 2017-12-01 2017-12-30
BANKBARODA 2017-12-31 2017-12-31
BANKINDIA 2017-07-01 2017-07-30
BANKINDIA 2017-07-31 2017-07-31
BANKINDIA 2017-08-01 2017-08-30
BANKINDIA 2017-08-31 2017-08-31
BANKINDIA 2017-09-01 2017-09-30
BANKINDIA 2017-10-01 2017-10-30
Commited candles: 1050000
BANKINDIA 2017-10-31 2017-10-31
BANKINDIA 2017-11-01 2017-11-30
BANKINDIA 2017-12-01 2017-12-30
BANKINDIA 2017-12-31 2017-12-31
BATAINDIA 2017-07-01 2017-07-30
BATAINDIA 2017-07-31 2017-07-31
BATAINDIA 2017-08-01 2017-08-30
BATAINDIA 2017-08-31 2017-08-31
BATAINDIA 2017-09-01 2017-09-30
BATAINDIA 2017-10-01 2017-10-30
BATAINDIA 2017-10-31 2017-10-31
BATAINDIA 2017-11-01 2017-11-30
BATAINDIA 2017-12-01 2017-12-30
BATAINDIA 2017-12-31 2017-12-31
BEL 2017-07-01 2017-07-30
BEL 2017-07-31 2017-07-31
BEL 2017-08-01 2017-08-30
BEL 2017-08-31 2017-08-31
BEL 2017-09-01 2017-09-30
BEL 2017-10-01 2017-10-30
BEL 2017-10-31 2017-10-31
BEL 2017-11-01 2017-11-30
BEL 2017-12-01 2017-12-30
BEL 2017-12-31 2017-12-31
BEML 2017-07-01 2017-07-30
BEML 2017-07-31 2017-07-31
BEML 2017-08-01 2017-08-30
BEML 2017-08-31 2017-08-31
BEML 2017-09-01 2017-09-30
BEML 2017-10-01 2017-10-30
BEML 2017-10-31 2017-10-31
BEML 2017-11-01 2017-11-30
BEML 2017-12-01 2017-12-30
Commited candles: 1200000
BEML 2017-12-31 2017-12-31
BERGEPAINT 2017-07-01 2017-07-30
BERGEPAINT 2017-07-31 2017-07-31
BERGEPAINT 2017-08-01 2017-08-30
BERGEPAINT 2017-08-31 2017-08-31
BERGEPAINT 2017-09-01 2017-09-30
BERGEPAINT 2017-10-01 2017-10-30
BERGEPAINT 2017-10-31 2017-10-31
BERGEPAINT 2017-11-01 2017-11-30
BERGEPAINT 2017-12-01 2017-12-30
BERGEPAINT 2017-12-31 2017-12-31
BHARATFIN 2017-07-01 2017-07-30
BHARATFIN 2017-07-31 2017-07-31
BHARATFIN 2017-08-01 2017-08-30
BHARATFIN 2017-08-31 2017-08-31
BHARATFIN 2017-09-01 2017-09-30
BHARATFIN 2017-10-01 2017-10-30
BHARATFIN 2017-10-31 2017-10-31
BHARATFIN 2017-11-01 2017-11-30
BHARATFIN 2017-12-01 2017-12-30
BHARATFIN 2017-12-31 2017-12-31
BHARATFORG 2017-07-01 2017-07-30
BHARATFORG 2017-07-31 2017-07-31
BHARATFORG 2017-08-01 2017-08-30
BHARATFORG 2017-08-31 2017-08-31
BHARATFORG 2017-09-01 2017-09-30
BHARATFORG 2017-10-01 2017-10-30
BHARATFORG 2017-10-31 2017-10-31
BHARATFORG 2017-11-01 2017-11-30
BHARATFORG 2017-12-01 2017-12-30
BHARATFORG 2017-12-31 2017-12-31
BHARTIARTL 2017-07-01 2017-07-30
Commited candles: 1350000
BHARTIARTL 2017-07-31 2017-07-31
BHARTIARTL 2017-08-01 2017-08-30
BHARTIARTL 2017-08-31 2017-08-31
BHARTIARTL 2017-09-01 2017-09-30
BHARTIARTL 2017-10-01 2017-10-30
BHARTIARTL 2017-10-31 2017-10-31
BHARTIARTL 2017-11-01 2017-11-30
BHARTIARTL 2017-12-01 2017-12-30
BHARTIARTL 2017-12-31 2017-12-31
BHEL 2017-07-01 2017-07-30
BHEL 2017-07-31 2017-07-31
BHEL 2017-08-01 2017-08-30
BHEL 2017-08-31 2017-08-31
BHEL 2017-09-01 2017-09-30
BHEL 2017-10-01 2017-10-30
BHEL 2017-10-31 2017-10-31
BHEL 2017-11-01 2017-11-30
BHEL 2017-12-01 2017-12-30
BHEL 2017-12-31 2017-12-31
BIOCON 2017-07-01 2017-07-30
BIOCON 2017-07-31 2017-07-31
BIOCON 2017-08-01 2017-08-30
BIOCON 2017-08-31 2017-08-31
BIOCON 2017-09-01 2017-09-30
BIOCON 2017-10-01 2017-10-30
BIOCON 2017-10-31 2017-10-31
BIOCON 2017-11-01 2017-11-30
BIOCON 2017-12-01 2017-12-30
BIOCON 2017-12-31 2017-12-31
BOSCHLTD 2017-07-01 2017-07-30
BOSCHLTD 2017-07-31 2017-07-31
BOSCHLTD 2017-08-01 2017-08-30
BOSCHLTD 2017-08-31 2017-08-31
BOSCHLTD 2017-09-01 2017-09-30
Commited candles: 1500000
BOSCHLTD 2017-10-01 2017-10-30
BOSCHLTD 2017-10-31 2017-10-31
BOSCHLTD 2017-11-01 2017-11-30
BOSCHLTD 2017-12-01 2017-12-30
BOSCHLTD 2017-12-31 2017-12-31
BPCL 2017-07-01 2017-07-30
BPCL 2017-07-31 2017-07-31
BPCL 2017-08-01 2017-08-30
BPCL 2017-08-31 2017-08-31
BPCL 2017-09-01 2017-09-30
BPCL 2017-10-01 2017-10-30
BPCL 2017-10-31 2017-10-31
BPCL 2017-11-01 2017-11-30
BPCL 2017-12-01 2017-12-30
BPCL 2017-12-31 2017-12-31
BRITANNIA 2017-07-01 2017-07-30
BRITANNIA 2017-07-31 2017-07-31
BRITANNIA 2017-08-01 2017-08-30
BRITANNIA 2017-08-31 2017-08-31
BRITANNIA 2017-09-01 2017-09-30
BRITANNIA 2017-10-01 2017-10-30
BRITANNIA 2017-10-31 2017-10-31
BRITANNIA 2017-11-01 2017-11-30
BRITANNIA 2017-12-01 2017-12-30
BRITANNIA 2017-12-31 2017-12-31
CADILAHC 2017-07-01 2017-07-30
CADILAHC 2017-07-31 2017-07-31
CADILAHC 2017-08-01 2017-08-30
CADILAHC 2017-08-31 2017-08-31
CADILAHC 2017-09-01 2017-09-30
CADILAHC 2017-10-01 2017-10-30
Commited candles: 1650000
CADILAHC 2017-10-31 2017-10-31
CADILAHC 2017-11-01 2017-11-30
CADILAHC 2017-12-01 2017-12-30
CADILAHC 2017-12-31 2017-12-31
CANBK 2017-07-01 2017-07-30
CANBK 2017-07-31 2017-07-31
CANBK 2017-08-01 2017-08-30
CANBK 2017-08-31 2017-08-31
CANBK 2017-09-01 2017-09-30
CANBK 2017-10-01 2017-10-30
CANBK 2017-10-31 2017-10-31
CANBK 2017-11-01 2017-11-30
CANBK 2017-12-01 2017-12-30
CANBK 2017-12-31 2017-12-31
CANFINHOME 2017-07-01 2017-07-30
CANFINHOME 2017-07-31 2017-07-31
CANFINHOME 2017-08-01 2017-08-30
CANFINHOME 2017-08-31 2017-08-31
CANFINHOME 2017-09-01 2017-09-30
CANFINHOME 2017-10-01 2017-10-30
CANFINHOME 2017-10-31 2017-10-31
CANFINHOME 2017-11-01 2017-11-30
CANFINHOME 2017-12-01 2017-12-30
CANFINHOME 2017-12-31 2017-12-31
CAPF 2017-07-01 2017-07-30
CAPF 2017-07-31 2017-07-31
CAPF 2017-08-01 2017-08-30
CAPF 2017-08-31 2017-08-31
CAPF 2017-09-01 2017-09-30
CAPF 2017-10-01 2017-10-30
CAPF 2017-10-31 2017-10-31
CAPF 2017-11-01 2017-11-30
Commited candles: 1800000
CAPF 2017-12-01 2017-12-30
CAPF 2017-12-31 2017-12-31
CASTROLIND 2017-07-01 2017-07-30
CASTROLIND 2017-07-31 2017-07-31
CASTROLIND 2017-08-01 2017-08-30
CASTROLIND 2017-08-31 2017-08-31
CASTROLIND 2017-09-01 2017-09-30
CASTROLIND 2017-10-01 2017-10-30
CASTROLIND 2017-10-31 2017-10-31
CASTROLIND 2017-11-01 2017-11-30
CASTROLIND 2017-12-01 2017-12-30
CASTROLIND 2017-12-31 2017-12-31
CEATLTD 2017-07-01 2017-07-30
CEATLTD 2017-07-31 2017-07-31
CEATLTD 2017-08-01 2017-08-30
CEATLTD 2017-08-31 2017-08-31
CEATLTD 2017-09-01 2017-09-30
CEATLTD 2017-10-01 2017-10-30
CEATLTD 2017-10-31 2017-10-31
CEATLTD 2017-11-01 2017-11-30
CEATLTD 2017-12-01 2017-12-30
CEATLTD 2017-12-31 2017-12-31
CENTURYTEX 2017-07-01 2017-07-30
CENTURYTEX 2017-07-31 2017-07-31
CENTURYTEX 2017-08-01 2017-08-30
CENTURYTEX 2017-08-31 2017-08-31
CENTURYTEX 2017-09-01 2017-09-30
CENTURYTEX 2017-10-01 2017-10-30
CENTURYTEX 2017-10-31 2017-10-31
CENTURYTEX 2017-11-01 2017-11-30
CENTURYTEX 2017-12-01 2017-12-30
CENTURYTEX 2017-12-31 2017-12-31
CESC 2017-07-01 2017-07-30
Commited candles: 1950000
CESC 2017-07-31 2017-07-31
CESC 2017-08-01 2017-08-30
CESC 2017-08-31 2017-08-31
CESC 2017-09-01 2017-09-30
CESC 2017-10-01 2017-10-30
CESC 2017-10-31 2017-10-31
CESC 2017-11-01 2017-11-30
CESC 2017-12-01 2017-12-30
CESC 2017-12-31 2017-12-31
CGPOWER 2017-07-01 2017-07-30
CGPOWER 2017-07-31 2017-07-31
CGPOWER 2017-08-01 2017-08-30
CGPOWER 2017-08-31 2017-08-31
CGPOWER 2017-09-01 2017-09-30
CGPOWER 2017-10-01 2017-10-30
CGPOWER 2017-10-31 2017-10-31
CGPOWER 2017-11-01 2017-11-30
CGPOWER 2017-12-01 2017-12-30
CGPOWER 2017-12-31 2017-12-31
CHENNPETRO 2017-07-01 2017-07-30
CHENNPETRO 2017-07-31 2017-07-31
CHENNPETRO 2017-08-01 2017-08-30
CHENNPETRO 2017-08-31 2017-08-31
CHENNPETRO 2017-09-01 2017-09-30
CHENNPETRO 2017-10-01 2017-10-30
CHENNPETRO 2017-10-31 2017-10-31
CHENNPETRO 2017-11-01 2017-11-30
CHENNPETRO 2017-12-01 2017-12-30
CHENNPETRO 2017-12-31 2017-12-31
CHOLAFIN 2017-07-01 2017-07-30
CHOLAFIN 2017-07-31 2017-07-31
CHOLAFIN 2017-08-01 2017-08-30
Commited candles: 2100000
CHOLAFIN 2017-08-31 2017-08-31
CHOLAFIN 2017-09-01 2017-09-30
CHOLAFIN 2017-10-01 2017-10-30
CHOLAFIN 2017-10-31 2017-10-31
CHOLAFIN 2017-11-01 2017-11-30
CHOLAFIN 2017-12-01 2017-12-30
CHOLAFIN 2017-12-31 2017-12-31
CIPLA 2017-07-01 2017-07-30
CIPLA 2017-07-31 2017-07-31
CIPLA 2017-08-01 2017-08-30
CIPLA 2017-08-31 2017-08-31
CIPLA 2017-09-01 2017-09-30
CIPLA 2017-10-01 2017-10-30
CIPLA 2017-10-31 2017-10-31
CIPLA 2017-11-01 2017-11-30
CIPLA 2017-12-01 2017-12-30
CIPLA 2017-12-31 2017-12-31
COALINDIA 2017-07-01 2017-07-30
COALINDIA 2017-07-31 2017-07-31
COALINDIA 2017-08-01 2017-08-30
COALINDIA 2017-08-31 2017-08-31
COALINDIA 2017-09-01 2017-09-30
COALINDIA 2017-10-01 2017-10-30
COALINDIA 2017-10-31 2017-10-31
COALINDIA 2017-11-01 2017-11-30
COALINDIA 2017-12-01 2017-12-30
COALINDIA 2017-12-31 2017-12-31
COLPAL 2017-07-01 2017-07-30
COLPAL 2017-07-31 2017-07-31
COLPAL 2017-08-01 2017-08-30
COLPAL 2017-08-31 2017-08-31
COLPAL 2017-09-01 2017-09-30
COLPAL 2017-10-01 2017-10-30
Commited candles: 2250000
COLPAL 2017-10-31 2017-10-31
COLPAL 2017-11-01 2017-11-30
COLPAL 2017-12-01 2017-12-30
COLPAL 2017-12-31 2017-12-31
CONCOR 2017-07-01 2017-07-30
CONCOR 2017-07-31 2017-07-31
CONCOR 2017-08-01 2017-08-30
CONCOR 2017-08-31 2017-08-31
CONCOR 2017-09-01 2017-09-30
CONCOR 2017-10-01 2017-10-30
CONCOR 2017-10-31 2017-10-31
CONCOR 2017-11-01 2017-11-30
CONCOR 2017-12-01 2017-12-30
CONCOR 2017-12-31 2017-12-31
CUMMINSIND 2017-07-01 2017-07-30
CUMMINSIND 2017-07-31 2017-07-31
CUMMINSIND 2017-08-01 2017-08-30
CUMMINSIND 2017-08-31 2017-08-31
CUMMINSIND 2017-09-01 2017-09-30
CUMMINSIND 2017-10-01 2017-10-30
CUMMINSIND 2017-10-31 2017-10-31
CUMMINSIND 2017-11-01 2017-11-30
CUMMINSIND 2017-12-01 2017-12-30
CUMMINSIND 2017-12-31 2017-12-31
DABUR 2017-07-01 2017-07-30
DABUR 2017-07-31 2017-07-31
DABUR 2017-08-01 2017-08-30
DABUR 2017-08-31 2017-08-31
DABUR 2017-09-01 2017-09-30
DABUR 2017-10-01 2017-10-30
DABUR 2017-10-31 2017-10-31
DABUR 2017-11-01 2017-11-30
Commited candles: 2400000
DABUR 2017-12-01 2017-12-30
DABUR 2017-12-31 2017-12-31
DALMIABHA 2017-07-01 2017-07-30
DALMIABHA 2017-07-31 2017-07-31
DALMIABHA 2017-08-01 2017-08-30
DALMIABHA 2017-08-31 2017-08-31
DALMIABHA 2017-09-01 2017-09-30
DALMIABHA 2017-10-01 2017-10-30
DALMIABHA 2017-10-31 2017-10-31
DALMIABHA 2017-11-01 2017-11-30
DALMIABHA 2017-12-01 2017-12-30
DALMIABHA 2017-12-31 2017-12-31
DCBBANK 2017-07-01 2017-07-30
DCBBANK 2017-07-31 2017-07-31
DCBBANK 2017-08-01 2017-08-30
DCBBANK 2017-08-31 2017-08-31
DCBBANK 2017-09-01 2017-09-30
DCBBANK 2017-10-01 2017-10-30
DCBBANK 2017-10-31 2017-10-31
DCBBANK 2017-11-01 2017-11-30
DCBBANK 2017-12-01 2017-12-30
DCBBANK 2017-12-31 2017-12-31
DHFL 2017-07-01 2017-07-30
DHFL 2017-07-31 2017-07-31
DHFL 2017-08-01 2017-08-30
DHFL 2017-08-31 2017-08-31
DHFL 2017-09-01 2017-09-30
DHFL 2017-10-01 2017-10-30
DHFL 2017-10-31 2017-10-31
DHFL 2017-11-01 2017-11-30
DHFL 2017-12-01 2017-12-30
Commited candles: 2550000
DHFL 2017-12-31 2017-12-31
DISHTV 2017-07-01 2017-07-30
DISHTV 2017-07-31 2017-07-31
DISHTV 2017-08-01 2017-08-30
DISHTV 2017-08-31 2017-08-31
DISHTV 2017-09-01 2017-09-30
DISHTV 2017-10-01 2017-10-30
DISHTV 2017-10-31 2017-10-31
DISHTV 2017-11-01 2017-11-30
DISHTV 2017-12-01 2017-12-30
DISHTV 2017-12-31 2017-12-31
DIVISLAB 2017-07-01 2017-07-30
DIVISLAB 2017-07-31 2017-07-31
DIVISLAB 2017-08-01 2017-08-30
DIVISLAB 2017-08-31 2017-08-31
DIVISLAB 2017-09-01 2017-09-30
DIVISLAB 2017-10-01 2017-10-30
DIVISLAB 2017-10-31 2017-10-31
DIVISLAB 2017-11-01 2017-11-30
DIVISLAB 2017-12-01 2017-12-30
DIVISLAB 2017-12-31 2017-12-31
DLF 2017-07-01 2017-07-30
DLF 2017-07-31 2017-07-31
DLF 2017-08-01 2017-08-30
DLF 2017-08-31 2017-08-31
DLF 2017-09-01 2017-09-30
DLF 2017-10-01 2017-10-30
DLF 2017-10-31 2017-10-31
DLF 2017-11-01 2017-11-30
DLF 2017-12-01 2017-12-30
DLF 2017-12-31 2017-12-31
DRREDDY 2017-07-01 2017-07-30
DRREDDY 2017-07-31 2017-07-31
DRREDDY 2017-08-01 2017-08-30
Commited candles: 2700000
DRREDDY 2017-08-31 2017-08-31
DRREDDY 2017-09-01 2017-09-30
DRREDDY 2017-10-01 2017-10-30
DRREDDY 2017-10-31 2017-10-31
DRREDDY 2017-11-01 2017-11-30
DRREDDY 2017-12-01 2017-12-30
DRREDDY 2017-12-31 2017-12-31
EICHERMOT 2017-07-01 2017-07-30
EICHERMOT 2017-07-31 2017-07-31
EICHERMOT 2017-08-01 2017-08-30
EICHERMOT 2017-08-31 2017-08-31
EICHERMOT 2017-09-01 2017-09-30
EICHERMOT 2017-10-01 2017-10-30
EICHERMOT 2017-10-31 2017-10-31
EICHERMOT 2017-11-01 2017-11-30
EICHERMOT 2017-12-01 2017-12-30
EICHERMOT 2017-12-31 2017-12-31
ENGINERSIN 2017-07-01 2017-07-30
ENGINERSIN 2017-07-31 2017-07-31
ENGINERSIN 2017-08-01 2017-08-30
ENGINERSIN 2017-08-31 2017-08-31
ENGINERSIN 2017-09-01 2017-09-30
ENGINERSIN 2017-10-01 2017-10-30
ENGINERSIN 2017-10-31 2017-10-31
ENGINERSIN 2017-11-01 2017-11-30
ENGINERSIN 2017-12-01 2017-12-30
ENGINERSIN 2017-12-31 2017-12-31
EQUITAS 2017-07-01 2017-07-30
EQUITAS 2017-07-31 2017-07-31
EQUITAS 2017-08-01 2017-08-30
EQUITAS 2017-08-31 2017-08-31
EQUITAS 2017-09-01 2017-09-30
Commited candles: 2850000
EQUITAS 2017-10-01 2017-10-30
EQUITAS 2017-10-31 2017-10-31
EQUITAS 2017-11-01 2017-11-30
EQUITAS 2017-12-01 2017-12-30
EQUITAS 2017-12-31 2017-12-31
ESCORTS 2017-07-01 2017-07-30
ESCORTS 2017-07-31 2017-07-31
ESCORTS 2017-08-01 2017-08-30
ESCORTS 2017-08-31 2017-08-31
ESCORTS 2017-09-01 2017-09-30
ESCORTS 2017-10-01 2017-10-30
ESCORTS 2017-10-31 2017-10-31
ESCORTS 2017-11-01 2017-11-30
ESCORTS 2017-12-01 2017-12-30
ESCORTS 2017-12-31 2017-12-31
EXIDEIND 2017-07-01 2017-07-30
EXIDEIND 2017-07-31 2017-07-31
EXIDEIND 2017-08-01 2017-08-30
EXIDEIND 2017-08-31 2017-08-31
EXIDEIND 2017-09-01 2017-09-30
EXIDEIND 2017-10-01 2017-10-30
EXIDEIND 2017-10-31 2017-10-31
EXIDEIND 2017-11-01 2017-11-30
